,User Name,User ID,User Description,Location,Followers Count,Verified,Created At
0,DanielKahneman,1.26087E+18,"Nobelprize Winner Behavioral Economics '02
Princeton University
American Israeli

Learn and laugh about my dual process theory!","Princeton, NJ",12495,FALSE,2020-05-14 09:44:22+00:00
1,Daron Acemoglu,1.65169E+18,"Institute Professor @MIT, @MITEcon. Author of Why Nations Fail and The Narrow Corridor. New book, Power and Progress, out now.",,236067,FALSE,2023-04-27 20:43:14+00:00
2,Max Tegmark,2530947115,"Known as Mad Max for my unorthodox ideas and passion for adventure, my scientific interests range from artificial intelligence to the ultimate nature of reality",MIT,131434,FALSE,2014-05-28 21:52:53+00:00
3,George Friedman,3418156992,"Leading geopolitical forecaster and Chairman of @GPFutures. Author of #Flashpoints, #TheNext100Years, The Storm Before the Calm.","Austin, TX",38816,FALSE,2015-09-01 20:07:29+00:00
4,Yuval Noah Harari,8.16291E+17,"Historian and bestselling author of 'Sapiens', 'Homo Deus', '21 Lessons for the 21st Century', 'Sapiens: A Graphic History', and 'Unstoppable Us'.",,580232,FALSE,2017-01-03 14:32:05+00:00
5,Steven Pinker,107225267,Cognitive scientist at Harvard.,"Boston, MA",815238,FALSE,2010-01-21 22:20:32+00:00
